,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral,others,comments
470,"HIGHLY disappointed with @Delta Have been stuck in the airport for 2 days, no change of clothes, luggage lost, flights changed multiple times & still nothing has been resolved. At this point we’ve lost money for our tour booked in Germany and still don’t know when we will arrive.",hannahyadayeet,,,1,,,,,,,,1,,,1,,,
471,Ugh stuck on a runway this am. Seriously it’s been a bad experience since we got out of car service - from a bag apparently being too heavy and shifting things to other bag and then that one too heavy. They already checked the first bag so we couldn’t adjust again. Ugh!!!,529mom,,1,1,,,,,,,,1,,,1,,,
472,@Delta flying you guys overseas this summer. Can’t wait! Love you guys sooo much!,mimiabuisnaineh,,,,,,,,,,1,,,1,,,,no context
473,Our wheelchairs are a part of us I agree it’s disgusting we can’t be without,Susanwalker2012,,,,,,,,,,,,,,,,1,random
474,"Has the price of airline tickets gone up? @SouthwestAir @Delta @JetBlue @AmericanAir @SpiritAirlines I’m trying to fly from @Bradley_Airport to @FlyTPA, @PuertoRicoPUR @UniversalORL @flyLAXairport @iah but geesh where are the deals",Daddychoc,,,,1,,,,,1,,,,,,1,1,competitors
475,Dear @AmericanAir I hope the attendants in Charlotte NC know that it is illegal to record people without their consent. I just watched an employee record the woman In front of me in line for quite some time. This is unprofessional and unacceptable. pic.twitter.com/P8lTJErbdG,UnGrandeCorazon,,,,,,,,,,,,,,,,1,staff behaviour
476,"@Delta I'm in China and I've got a question about a codeshare flight between TSNIND on 4/29, who can I call with my Chinese phone number? The website link for this returns a ""page not found""",jameslaustin,➡️,,,1,,,,,1,,,,,,1,,
477,"Hey @SouthwestAir, more of this please!",GoDominicus,,,,,,,,,,,,,,,,1,no context
478,Done.. Thank you John!,roadtoeast,,,,,,,,,,,,,,,,1,no context
479,Anything but #SouthwestAirlines if you actually want to reach your destination. Happy birthday tho.,vance63306972,,,,,,,,,,,,1,,1,,1,no label
480,Can Bobby afford private travel??? Just saw the price paid for new UA house,AntsMarching48,😦,,,,,,,,,,,,,,,1,random
481,Can you tell if I’m confirmed? My wife received an email confirmation. I haven’t seen anything yet.,SittinDeadRed,,,,1,,,,,1,,,,,,1,,
482,"At this point, I pretty much refuse to fly @AmericanAir if there is an alternate airline available.",SBJ_007,,,,,,,,,,,1,,,1,,1,general
483,"@AmericanAir always the absolute worst. Flight was supposed to land at 9:40, we won’t be off the plane until 10:05 or later. Have to sprint across the DFW airport in hopes of making my connecting flight.",careblair3,,,1,,,,,,,,1,,,1,,,
484,Why give attention to an easily triggered snowflake that only has 163 followers? This is hilarious and brilliant!,HTCountryMusic,,,,,,,,,,,,,,,,1,random
485,Just had a similar situation where I felt they were actually amused that I was going to miss my flight and def had the ability to help me make it. Luckily I found one AA employee that was willing to actually do their job and with some sprints and hurdles im on the flight.,TimReillyPoker,,,,,,,,,,,,,,,,1,staff behaviour
486,"Tribute to Herb Kelleher, co-founder @SouthwestAir http://bit.ly/2CXQQir by @BandF",ViasatAviation,,,,,,,,,,,,,,,,1,random
487,Well considering Concorde only had one serious crash and the 747 has had multiple surely it's about time that Air France and British airways got together again and made another supersonic jet that looks like Concorde? Would be nice to see a modern Concorde,Cbates1992,,,,,,,,,,,,,,,,1,safety
488,"Hello, Payment haven't been made until January of this month. Then It couldn't be processed due to a problem with the bank I gave you the contacts of. You could just check your twitter dms. Everything is there. It's tiring to start from scratch everytime you decide to answer.",OppressedSalad,,,,,,,,,,,,,,,,1,no label
489,@SouthwestAir just got a text that my flight was cancelled. No additional details. Can’t get in touch with anyone. What’s the deal?,jbooth_edelman,,,,1,,,,,1,,,,,,1,,
490,"Since I’m now in a bit of a foul mood, let’s see how long it takes to get a coffee or water in first class on @AmericanAir Last time (Dec 30th, AA 2571) it took 105 mins. Yes, nearly two hours so the flight crew could socialize. What will happen today?",PatrickNYC1,,,,,,,1,,,,1,,,1,,,
491,I bet the flight attendants hand out a lot of free drinks on this flight.,NatsBandwagon,,,,,,,1,,,,,1,,,1,,
492,@SouthwestAir is hands down the BEST airline,bria8959,,,,,,,,,,1,,,1,,,,general
493,"wow, if that is true then their union is even worse than AEA & SAG!!! They should strike.",beth_rosner,,,,,,,,,,,,,,,,1,no context
494,@British_Airways Will you be flying to Murcia this year?,ollyloosemore,,,,,,,,,1,,,,,,1,,general
495,Take off from AMS. On @British_Airways @A320 . pic.twitter.com/3xfVAIcFO6,pejezierski,,,,,,,,,,,,,,,,1,random
496,Always like to guess military experience based on landing. A few ex-Navy pilots landed so hard I swear I lost teeth .,FlyHighJason,😅,,,,,,,,,,,,,,,1,random
497,@AmericanAir why do you lie? Is lying about a flight really worth it for losing a customer you’ve had for years? Will it be worth the law suit?,Sarah42110,,,,,,,,,,,,,,,,1,general
498,Man it’s so fun watching people going on Spring break trying to figure out @SouthwestAir boarding process. And yes the employees have explained it very well! pic.twitter.com/clFQtqXMli,air92503,😂 😂,,,,,,,,,,,,,,,1,boarding
499,"Direct flights from Oakland to Maui, already booked for 4th of July weekend!!!",BL_CC_SEMO,,,,,,,,,,,,,,,,1,random
500,Nice! Cannot wait for the NYC Premiere of the film Unlikely!,DeanKamath,,,,,,,,,,,,,,,,1,random
501,Fizz Friday Part 2! The fab crew with @British_Airways drinks trolley are today dispensing happiness at the Reach newspaper and magazine office at Lower Thames Street #London - pic courtesy of @marjorieyue #BA100 #BritishAirways pic.twitter.com/6jhtsea321,MirrorTravelEd,,,,,,,,,,,,1,,,1,1,advert
502,Thanks. Doesna screenshot of my elite credential from the AA app work? or does it need to be a picture of the physical card?,KathleenND,,,,,1,,,,1,,,,,,1,,
503,Spending the night at Oakland Airport because @SouthwestAir flight got canceled. Tilt! @Techevarr you got lucky,kappolo,,,1,,,,,,,,,1,,,1,,
504,"I know of many domestic plane crashes, and with the exception of terrorism, pilot error has been the determining factor. You have yet to explain to me how Southwest pilots fly the largest domestic fleet of 737 Max with no issues, yet it the airplane's fault? Ethiopian Air had 5",Larson_J_D,,,,,,,,,,,,,,,,1,safety
505,Flight #140 LAX to SFO.,sharonmhan,,,,,,,,,,,,,,,,1,random
506,@SouthwestAir any info on why 516 SAT-OAK is delayed 11:40 to 12:20 departure? Thank you,beldonstevens,,,1,,,,,,1,,,,,,1,,
507,"Oh look, a gate attendant. I thought we were in the Twilight Zone.",davidulin,,,,,,,,,,,,,,,,1,random
508,@mauroranallo had trouble with them aswell,Nickmorris69,,,,,,,,,,,,,,,,1,random
509,"Vegas bound! #EXHIBITORLIVE, here I come... #travel #eventprofs cc @Delta @EXHIBITORpic.twitter.com/aowBHUnx5a",Robyn_WINH,,,,,,,,,,,,,,,,1,random
510,Thank you! You are appreciated! Your flight crew has been top notch.,kplusque,,,,,,,1,,,1,,,1,,,,
511,"Just finished four consecutive daily flights with @SouthwestAir in BNA DIA AUS SAT: @TSA are awesome, dedicated to our travel safety. Thanked them all for their service. BNA said “we put our country’s safety first”. #RespectTSA",WmDanRoberts,,,,,,,,,,,,,,,,1,to others
512,@AmericanAir what terrible customer service! Will not choose to fly with you ever. https://twitter.com/Wolfkenn/status/1099709885183275013 …,LisaW7742,,,,,,1,,,,,1,,,1,,,
513,Checked-in within 60 seconds of the notification and still got B 57 @SouthwestAir why do you hate me,braxxp,,,,,,,,1,,,1,,,,1,,
514,"Safe travels. Flew A380 once from LAX-LHR, fantastic flight. I couldn’t tell we’d taken off!! Sad news today.",HazelCane1,,,,,,,,,,,,,,,1,,safety
515,"Thanks, Beki, I surely appreciate your wonderful advice!",StephenFOrlando,,,,,,1,,,,1,,,1,,,,
516,"Nope, it's all sorted. Just ask people to stick to the script, I guess. Ask about mobility needs, not precise medical conditions. If it's relevant, we'll mention. Otherwise it's personal information that doesn't need to be shared.",notwaving,,,,,,,,,,,,,,,,1,to others
517,"Just to be sure, the issue was southwest's fault and not an Act of God?",SpTmsCrd62,,,,,,,,,,,,,,,,1,safety
518,Interesting. I really wouldn’t have known what it meant if I saw it on the drop down. Im guessing there’s a risk of people using it for a laugh.,BLass7821,,,,,,,,,,,,,,,,1,no context
519,Is that a Max? My ID skills have deteriorated,EdwardCarter17,,,,,,,,,,,,,,,,1,no context
520,I love @SouthwestAir you guys have the best flight attendants,LyricallySpeakn,😩 😂,,,,,,1,,,1,,,1,,,,
521,"305,706 - My Southwest points as of today. On a totally unrelated note - Southwest Airlines landed a plane in Hawaii today... @SouthwestAir",toddvalle,,,,,,,,,,,,,,,,1,random
522,"“Premium airline”? The only premium airline that is cutting out aircraft cleaning on turnarounds. The only premium airline that is reducing seat pitch in all classes, ADDING seats and taking away toilets? Emirates and easyJet will be pissing themselves at this.",CheshireCreamT,,,,,,,,,,,,,,,,1,general
523,"Come on @British_Airways , follow suit!! Passengers on low cost airline Norwegian to get free Wi-Fi on long haul flights https://www. lonelyplanet.com/news/2019/01/1 4/norwegian-wi-fi-long-haul/ … via @lptravelnews",snapsandstories,,,,,,,1,,,,,1,,,1,,
524,"Just a hunch, but I don't think Matthew was referring to airline seating.",from_sgf,,,,,,,,,,,,,,,,1,no context
525,"Come in what else you got, I love this.",scotieboi83,,,,,,,,,,,,,,,,1,no context
526,Please contact us via our Help Page: https://help.tripit.com/hc/en-us/requests/new …,TripIt,,,,,,,,,,,,,,,,1,no context
527,@SouthwestAir You did a poor job with the Boeing Max 8 situation. Telling people they would have to pay extra to get onto a safe plane is selfish & uncaring. #,deborahager1,,,,,,,,,,,,,,,,1,safety
528,“The beatings will continue until morale improves”,gilbee12,,,,,,,,,,,,,,,,1,no context
529,There are no other options. No more flights out to LA tonight after this one. And there is not one person here that works for you or @TSA that cares.,lemusselman,,,,1,,1,,,,,1,,,1,,,
530,If I’ve waited here for almost an hour and a half only to find out my bag is still in DC I’m going to be LIVID @DFWAirport @AmericanAir #Flight2351,ohheyits_v,❗️ ❗️ ❗️ ❗️,1,,,,,,,,,1,,,1,,,
531,Woah there big fella easy. Jk. It’s vacation. Have fun.,hunterandhorses,,,,,,,,,,,,,,,,1,random
532,"@AmericanAir My wife and I NEVER get seats next to each other if we don't pay the EXTRA. You all are well aware of how expensive it is to fly. At the very least, economy passengers should be able to sit next to their loved ones. Inconvenience by design",RaYoWaLlS,,,,,,,,1,,,1,,,1,,,
533,Love love love the diversity in the @British_Airways advert #BA100 #BritishAirways100,andiabz,,,,,,,,,,,,,,,,1,general
534,Another amazing reason to love @SouthwestAir pic.twitter.com/K8y3huDVER,aaronb88,,,,,,,,,,,,,,,,1,random
535,I specifically try to only fly @Delta but now it's Virgin or Jet Blue!,JuliaPerezzz,,,,,,,,,,,,,,,,1,competitors
536,They are planning to fly it to Hawaii so I would imagine it'll have ETOPS,asmartz,,,,,,,,,,,,,,,,1,no context
537,A copy and paste of news which are running around the globe since weeks. There is nothing new. The deal will not take place.,JorioAntonio,,,,,,,,,,,,,,,,1,no context
538,Noconfusion at all. You took the payment and did not deliver. Plain and simple. Interesting that you didn’t even ask for any info about my flight confirmation. I will get my $$back and will consider this a lesson learned. “Southwest doesn’t deliver what it sells.” #SWAripoff,canjcat,,,,1,,,,,,,1,,,1,,,
539,I like this ad and the messages in it. Good on you for having the balls to be positive.,dotcompston,,,,,,,,,,,,,,,,1,no context
540,Of course @AmericanAir has 100 of these planes. . See ya! Hi @united how are ya??,chgoismyhome,🤦🏼‍♀️,,,,,,,,,,,,,,,1,no context
541,"They're smooth and fast, and they're prolific in the industry.",resplendicity,,,,,,,,,,,,,,,,1,no context
542,Why was it cancelled? The flight on 17/5/2019 still available and selling.,lavenderong1011,,,,1,,,,,1,,,,,,1,,
543,This why I don’t fly @SouthwestAir !!!! Why tf my bags in Phoenix n I flew to DENVER !!!!,DaGoldenGoose,,1,,,,,,,,,1,,,1,,,
544,Yeah same here. Strange to see sold out flights in the first hour!pic.twitter.com/mPCWfhaN9w,BigDaveInBflo,,,,,,,,,,,,,,,,1,no context
545,BA - thank you. I have DM’ed the details. Please note that @makemytrip is actually holding you responsible for the delay. I am not sure what’s the reality but for sure this service from @makemytrip is reflecting poorly on @British_Airways,gss_patel,,,1,,,,,,,,1,,,,1,,
546,@Delta just tried to upgrade seat using both the app and website and neither gave me the option to use miles of which I have many.,phairphunk,,,,,,,,1,1,,,,,,1,,
547,Well there goes our Disney plans thanks @AmericanAir for cancelling over 40 flights right before spring break,Valee_Mendez08,😭,,,1,,,,,,,1,,,,1,,
548,we timed out...they close a 8pm in the UK...interminable hold music and I lost my will to live,BumbleWard,,,,,,,,,,,,,,,,1,random
549,"I am, admittedly, a horrible flyer. But when I look out the window and see @SouthwestAir I know I’m in good hands. With that being said..I need a drink pic.twitter.com/YtGHUFRuZ7",couchez,😳,,,,,,,,,1,,,1,,,,general
550,"He was larger than average, but not obese. Aka “American” lol",gabe_cavallaro,,,,,,,,,,,,,,,,1,random
551,Beautiful day to fly @AmericanAir got my running boots on for my super tight connection!!! #travel #WednesdayMotivation #fly #avgeek #Aviation #B777,JRockstar007,,,,,,,,,,,,,,,,1,random
552,Liberals: making the world worse one way or another,1truVikingbard,,,,,,,,,,,,,,,,1,random
553,@Delta I'm getting a time to check in message on mobile app notification as well as by email but when I try to check in it says I don't have a ticket or something. What happened to my rez? Pls advise.,joedevon,,,,1,,,,,1,,,,,,1,,
554,Fly out in June to Vegas but could only find flight #. Hope it isn’t one of those planes,AndrewBenslay,,,,,,,,,,,,,,,,1,random
555,Too bad your fares around Feb break and Easter are jacked up!! No sales there.... #lifeofateacher #sounfair,gmarie72,,,,,,,,,,,,,,,,1,random
556,The struggle is real.,gilrogers,,,,,,,,,,,,,,,,1,no context
557,So sorry to hear this! Thinking of you all! He left an incredible legacy!,CorganInc,,,,,,,,,,,,,,,,1,random
558,Always good to look out and see your bag is making the trip with you. Thanks @AmericanAir @TXlege a lot nicer than @EvilMopacATXpic.twitter.com/zc57UDS8gq,MitchLandry,,1,,,,,,,,1,,,1,,,,
559,@AmericanAir no the captain says their short staffed c’mon AA we’ve got to be ready for business!! Totally unacceptable and now airing dirty laundry be a team and fix it!,Bertsfitness,,,,,,,,,,,,,,,,1,no context
