,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral
713,Hey @WestJet ! Can you explain me why booking a flight operated by your airline through @Delta was 200$CAD cheaper than booking through your web site ? (I have been charged 529$CAD by Delta and you charge 729$CAD for the exact same flight),DavidStOnge,,,,1,,,,,1,,,,,1,
714,Why isn't @British_Airways brought to task over all these cancelled flights??!! https:// twitter.com/joanneljones10 /status/1095051722874146821 …,LestSel,,,1,,,,,,,,1,,,1,
715,the problem is I need to only cancel one leg of my trip - not the whole trip. Having a hard time navigating your website to allow only changing one way of the trip.,CarolJourney,,,,1,,,,,,,1,,,1,
716,@SouthwestAir just book the post winter flight to Jamaica pic.twitter.com/m4z9yKDLIL,jhoff008,,,,,,,,,,,,1,,,1
717,"I love Southwest, but they've done similar (though not as egregious) things to me a couple of times, and it's really been the only times they've ticked me off.",Wxmanms1,,,,,,,,,,,,1,,,1
718,Thanks Lisa TBH I've lost all faith in BA and am looking to close this sorry story off. I've been extremely patient and am only asking for the common courtesy of an acknowledgement or update It's not too much to ask for no matter how busy your teams are,arm431888,,,,,,1,,,,,1,,,1,
719,lol nothing wrong with the napkins,hammmayaincac,,,,,,,,,,,,,,,
720,#brunch time @HeathrowAirport @British_Airways pic.twitter.com/HV7MkDmy6B,LeonardMiron,,,,,,,,,,,,,,,
721,No blame for mechanical issue but seriously? Let’s prioritize customers who need more assistance! @AmericanAir https://twitter.com/TexasTOY2014/status/1094746676118605824 …,annaebaldwin,,,,,,1,,,,,1,,,1,
722,.and exciting! I wonder if we are #expresslyauthorized to proceed?,dochartaigh66,🤣,,,,,,,,,,,,,,
723,"So, during a three hour flight, when do they determine it's okay to allow people to be unrestrained?",Gr8ketch,,,,,,,,,,,,,,,
724,@southwestair we had an awful time traveling w/ you in Dec. I’ve called 3 times to complain & I’ve been told it’s the wrong department but no one will transfer me. I was told I could complain online but that’s not possible either. You lost my kid’s formula! #unhappytraveler,SarahPe36942471,,,,,,1,,,,,1,,,1,
725,"It may have been VFR, but the winds were pretty damn gusty with wind shear conditions prevalent.",BobbyC_1983,,,,,,,,,,,,1,,,1
726,My parents were on the flight. They ended up rebooking on @Delta because there wasn't anything available.,k_m1045,,,,1,,,,,,,,1,,1,
727,Excited you will be flying out of SMF. Aloha!,toddferrara,,,,,,,,,,,,,,,
728,"@AirAsiaSupport I sent a mail to customer support last month 12/12 with my enquiry, so far I have been asked to provide same details in one reply mail. Could it be resolved or I should stop following up? It's more than a month now. Such a poor and pathetic customer service. pic.twitter.com/50QziRlDct",shahnawaz2057,,,,,,1,,,,,1,,,1,
729,"@AirAsiaSupport I am trying to check in online I meet all the requirements for online check in, but it tells me I can only check in at the airport. Why?",steward43_mark,,,,1,,,,,1,,,,,1,
730,My family and I are looking forward to travelling with @British_Airways to New York in December. This will be the first time the kids have ever been on a plane. #buzzing #flight #newyorkcity,c_freemantle1,,,,,,,,,,,,1,1,,
731,"@AmericanAir, @British_Airways I am going to be following up with a complaint to CAA.",gspilio,,,,,,,,,,,1,,,1,
732,@AmericanAir i never got miles for the flights I took in December,jopo318,,,,,1,,,,,,1,,,1,
733,@AmericanAir My husband was on the 6:10am flight from JAX to Dallas today. The plane smelled like urine!! This is disgusting. What say you?,sonyabolden23,,,,,,,1,,,,1,,,1,
734,"@SouthwestAir I used over 26,000 points (roughly $740) to get to New York for New Year's Eve. My flight was canceled & I didn't get to NY until 28 hours after I should have, missing the events I used all my points to make. Will Southwest reimburse these wasted points?",BethanySalminen,,,1,,1,,,,,,1,,,1,
735,@SouthwestAir - hey southwest we got a text that the flight was cancelled and now our Air BnB needs an official email with traveler names to show as evidence of cancellation for some refund consideration! How do I get that letter sent as proof of cancellation of my flight?,GWhowes,,,1,,,,,,1,,,,,,1
736,@British_Airways what is the normal turnaround for a suitcase left in the USA? You’ve had one in philly for a week now with no updates....,MarsdenVanessa,,1,,,,,,,1,,,,,1,
737,Seriously... just hey let’s get to Boston at midnight now?,sjhilt,,,,,,,,,,,,,,,
738,I was on that flight with a connection to STL on @AmericanAir . No bags or comms as of yet though after 24 hours am meant to have a dedicated team. Any word on your end @drbendlej?,cuckoosings,,1,,,,,,,,,1,,,1,
739,"At this point, I'd take any response. I think they're ignoring us",M0Hall0ran,,,,,,1,,,,,1,,,1,
740,Says a bloke who's never had to do it.,jsvt1973,,,,,,,,,,,,,,,
741,can i get some free points cause i love southwest,dtmcd3599,,,,,,,,,,,,,,,
742,Thank you @AriShaffir & to everyone who took a stand to get @Delta to give me back my Diamond status. @twitter can be used for good & @Delta remains the greatest airline in the world.,_TomRhodes,,,,,,,,,,1,,,1,,
743,@AmericanAir when can I expect my bags? Your rep wasn’t very helpful...,owentyler1,,1,,,,,,,,,1,,,1,
744,Found a gross piece of a metal chain in my fruit dish today on DTW-DFW 4124. So gross! @Delta pic.twitter.com/RagPqAWeJX,djnidetz,,,,,,,1,,,,1,,,1,
745,@SouthwestAir what did one snowman say to the other snowman... or person... pic.twitter.com/S2A2EoWSa2,DavidEmrich54,,,,,,,,,,,,,,,
746,"Just spent 5 horrible hours on an @AmericanAir flight aboard one of their stupid crammed loud @Boeing 737, buried under a large woman whose hips wouldn't even fit between the armrests. AA needs better airplanes. And she needs to buy two tickets",locobedoya,,,,,,,1,,,,1,,,1,
747,Steve Sisneros with @SouthwestAir says the airlines have agreed on 1.5 billion for the new KCI. @catreidtv has been reporting on the actual cost being higher than that amount. “As we go through the design process...we have a structure that will allow changes.” @41actionnewspic.twitter.com/MIVbsZzYVY,StevenDialTV,,,,,,,,,,,,1,,,1
748,"Hi Joe, glad you are OK. My name is Bruno Thiery, Photo editor. May we get permission to use your video for the site http://FOXNews.com . Let me know, thanks",FoxNewsPhotos,,,,,,,,,,,,,,,
749,Looking like a motherboard,TonyWithThePony,,,,,,,,,,,,,,,
750,"It won't show up in your account, just on the final booking page",godsavethepoint,,,,,,,,,,,,,,,
