,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,others,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral
315,@Delta please update the status of flight 3921. DTW to PIT. App shows one thing. Gate agent says not leaving for another 2 hours.,cgreg97,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
316,"Btw we fly @AmericanAir all the time, and they've been fantastic",WrightCassius,😎,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
317,"@Delta Bad flt coming back from LHR was on Virgin FLT that broke, stuck on rnwy, lil help from @VirginAtlantic platinum and gold flier. Why do you use Virgin? status doesn’t help because Virgin Cntrls FLT. Really bad experience. No Delta Help Desk at LHR. The Gold Desk Huge Line!",twack,,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
318,@Delta website is horrible!,amadenna,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
319,"I agree with @JoeyHyde @AmericanAir is garbage! All hail @Delta or @SouthwestAir everything about @AmericanAir sucks. Customer service, fairs, flight attendants and planes are old!https://twitter.com/abestoklasa/status/1103125361242587136 …",Startracing06,,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
320,Contact his road manager or agent.,hercheyness,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,"@AmericanAir I know you want to know—sitting on the ground after landing at @DFW for more than 15 minutes. Even if the pilot knows nothing, please let us know. AA#1024",cbobcreson,,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
322,Sure. Let me know when you want to pay the difference in fare Mike,TonyBrunoShow,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,@British_Airways Hello. Is there anybody actually in your call centre today?,WillBeresford1,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
324,"@AmericanAir why is my only option to rebook my El Paso flight tonight to tomorrow? Ridiculous, as I’m only going to be there 3 days! You should have more options. This never happens on southwest.",TayyLaww,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
325,Now a 9:30pm departure?!! I seriously don’t know why I keep giving @SouthwestAir so many chances. I’ve only flown 3 times (today would be 4) since September and my luggage has been lost TWICE and now THIS!!!,JMcKinnon723,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
326,". @British_Airways , I’ve reported this a few times through Customer Service, but trying again: Adding an OnBusiness number hasn’t been possible on the iOS app for over a year now when making a booking. Only gives a numeric keyboard and can’t progress on from it. Annoying!",Geek_Manager,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
327,"NEW YEAR, NEW AIRLINE! CAN YOU @SouthwestAir",maximewaters,👂 ✈️ ✈️ ✈️ ✈️ ✈️ ✈️ 👌 👂 👂 👂 👂 💁🏾‍♀️,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
328,"@AirAsiaSupport I typed wrong the month of my date of birth. How i change it now, please!",dinhnguyenngoc,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
329,@Airports_ZA @ortambo_int @SAPoliceService @DoTransport @British_Airways my case went ‘missing’ yesterday on a flight from OR Tambo to Port Elizabeth. All my clothes have gone. So far @Comair have offered R500 / £27,Jtay247,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
330,"@Clear the integration with @Delta and @AmericanExpress Platinum - breeze through not only security, but Skyclub with nothing but my fingerprints! cc: @thepointsguy – at Delta Sky Club",rdrakea,❤️ ✈️,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
331,Dose Yelp have a character limit. You might need 3 or for posting to tell them off. She went on for 18 pages. “ Front and back “,erictov,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,"Lmao! As I walk down the aisle on a full flight w/ only middle seats left, everyone's facial expression says the same thing... ""Please, Lord, let him choose another row!"" #imbig #iknow #GoingHome #Austin #texas see you soon, #SXSW @SouthwestAir",Alkren62, 🛫 🛬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,"Positives about flying the new Max 8s on @SouthwestAir: roomier, quieter, it plays music while you board. Negatives: you might drop out of the fucking sky.",pettyintrigues,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
334,@SouthwestAir 25 minutes with no acknowledgement but you tweeted someone who sent something just a couple minutes ago. Why are you ignoring me? Is your phone going to beat you to me?!?!,BrandoJM,,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
335,What about the Max8?,GW1115,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
336,"How are you honoring Herb when people sign up for your card to earn bonus miles for spending a certain amount within a certain time, meet the criteria and then never get the bonus miles? Try and call and get the run around. Herb didn’t bait and switch.",cathollertx,,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
337,I’m glad I was able to participate in your act of generosity to all other travelers by sitting in this 90 degree hotbox. Keep fighting the good fight kind sir,Teej85,,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
338,"@British_Airways put your coat in the overhead compartment but the plane is so old and dirty it comes out like this. Long haul business is expensive on BA, you could use the money to clean the plane pic.twitter.com/fXBQVczmPC",FishsTweets,,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
339,Many runways closed @BostonLogan and ground crews are digging out the planes and tugs #Boeing #Airbus #Boston #loganairport #kbos @Delta pic.twitter.com/tviXkgpade,thenewarea51,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
340,It did and it was all thanks to you and JetBlue. I could go on and on about how much of a difference you/JBLU made for us but it is not being dramatic when I say i think it was a big part of why he recovered and is a survivor. Thank you.,jrose022,,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
341,I read that flaps are not retracting,2littlebuggers,,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
342,Very happy @Delta isn't on this list. https://nyti.ms/2EUiGfa,YoMisterDJ,,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
343,"@AirAsiaSupport i don't understand why I cannot use my E-Gift Voucher. Due to ur system issue, I keep on getting error message. And I can't even try to book a flight ticket. I have try all different browser and different devices but still unable to use the voucher.",denisetan627,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
344,If you don’t then pass it by. See how simple that is. Even you should be able to comprehend that.,Vanns40,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,"OMG they are so cute and in love. And they are good storytellers, too! Congrats, Morgan and Robby!",pamelawu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,It’s ok is this something that you will bring back to the app ?,kujanme,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
347,Drug tests all around!,FrstdsDd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,Linnea from @SouthwestAir screwed me. I may never be able to leave vegas,DKGhost17,,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
349,You guy's have the same smile. Lol,JeffSparenga,,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
350,Fletch and Chris.pic.twitter.com/yBYvt1cwov,jeffreyKoval,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,@SouthwestAir CEO says no plan right now to deviate from fleet strategy,R_Wall,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
352,"Very concise analysis of @AmericanAir ‘s financial situation, stock prices and profits. https://www.modernreaders.com/news/2019/02/24/analysts-expect-american-airlines-group-inc-aal-will-post-quarterly-sales-of-10-72-billion.html …",TheForwardCabin,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
353,Ummm....holy crap. I am on an @AmericanAir flight from ORD>LAX and my seat back TV just featured one of my faves of all time! @caseyshilling repping @ZoesKitchen. Marketing boss! #fierce,DanielWConsults,,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
354,That's a beautiful story! Nothing better than to have someone believe in you even when your dreams seem impossible.,NancyMPatt,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
355,"At least when SW cancels the flights for ""operational issues"" ... i mean weather .. you are still in Hawaii so that is a win",US_cadsts,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
356,Bridgette’s smile and great service on @AmericanAir 5736 is contagious this evening!,TheKyleTurner,,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
357,BASIIIIIICCC???? @Delta pic.twitter.com/lImhB5jlnZ,tnt868,🤣 🤣 🤣 🤣 🤣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,Delta Don’t Expect Luggage To Arrive,Hacxked,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
359,The freighters were wet leased in partnership with GSS they were returned a few years ago,nadrojnomis,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
360,"Spent an hour and a half with an @AmericanAir rep trying to change a complicated itinerary and right at the end I get disconnected. Beyond obnoxious that your agents 1.) can't call customers back and 2.) other reps are able to take care of this now because ""it's too confusing.""",PointChaser,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
361,"Hello @AirAsiaSupport. I am still waiting for your feedback. It's been almost 8 days and yet, you haven't reached out. I do hope Mr. @tonyfernandes intervenes.",edguinto,,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
362,. @British_Airways to Celebrate 100th Anniversary with 1960s Retro Livery https:// buff.ly/2MDxxOq #britishairways #travel #airlines #ttot pic.twitter.com/gMqvvnuYTO,gtpgr,,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
363,@AirAsiaSupport can I seat on my wheelchair during flight?,Flower13816324,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
364,@British_Airways Why isn't your website working? #frustrated,scrofts87,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
365,"We were told it was “Mechanical and we can’t get another plane out tonight.” not weather. Understood if it is weather, but a cab voucher, meal voucher would have been nice.",rubyinthecity,,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
366,Because they’re too busy melting down over trivial shit like this.,Jared_VOR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,"Hi Liz appreciate your quick response. I managed to stay logged in long enough to download my boarding pass so I am good to go.. then it logged me out again! Re the latest version, to be fair this has been going on sporadically for months so I don’t think it’s version related!",edlangley,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
368,The flight I'm talking about is BA2175 AGP to LGW,Sam69515698,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,Really just Cinncinatti,ReneeSpalding1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,"Ha! I kept this one to domestic carriers; chasing down everyone from Asiana to Vueling would be a feat. But yes, all ears for bike-fee horror stories (and airport ninja victories)!",joelindsey,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,"No, didn’t notice it until putting it into the uber. But this is the second time.",mary_pullins,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,"no fun, I hope you get off the ground soon",AmyBLeo,😓,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
373,"@AmericanAir Flying back home to Tokyo (LAX-HND), now the power is not working in business class seat 3D on a 787-9. The purser says he put a ticket in for this last week... The flight last wk on the way from HND-LAX had no working AV system and now on my way home no power :(",Valuepac,,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
374,I looked on your schedules and is showing 2 daily flights in November and December. One on AA B777 and one BA B747,SeanM1997,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
375,@SouthwestAir Please help! I have not received a cancellation yet (flight 456 LAX to HOU on march 14). All replacement Wanna Get Away tickets are sold out. I can get an Anytime flight for $2000 more. But will u reimburse me the difference if i cancel my original flight myself?,jasonspitz,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
376,"HI John if you have an Avios account and go to manage my account, There should be an option to 'Transfer/Combine Avios"". This will allow you to move points from one account to the other. We hope this helps.",AerLingus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,@SouthwestAir Do you know why flight 2063 is delayed for hours? I can't think of a weather related issue.,BookDal27,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
378,Can I book flights for the bums here in Phoenix? Do I need to have their ID?,sandersdmt,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
379,Yeah it’s fucked. And they keep telling me I have to call them to make a change. Which I can’t do from a remote island. I think I’ll just stay here forever.,robin_r_r,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
380,PLEASE HELP ME OUT WITH THIS ONE @Delta @AmericanAir @united who better?,rockinwitstone,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,That would be hong kong Kai tak I believe.....,Iamhairyf,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,Can’t be a easy job working for the airport.,JhawkChalk89,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,"Thankfully the passengers are more caring and compassionate than @AmericanAir. Your gate agents never followed up with us to offer anything better, nor did your flight attendants. We would have been in separate cabins on opposite sides of the plane. #unamerican #poorcustomercare",AnjaliMalikMD,,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
384,Thanks @AmericanAir for having awesome people like Dawn in KC to help everyone out today! She rocks!,synapse784,,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
385,They didn’t even have a ‘fragile’ tag for my girlfriend’s electronic drum set at the bag drop counter. They literally dropped the box as they took it away right in front of us @AmericanAir @LATAMAirlinesUS,thebossyleaf,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
386,They also say they get 3-4 complaints about him a week.,angpall,🤷🏻‍♀️,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,"@British_Airways Hi, I have direct messaged you. Please could someone reply urgently? Thanks",katielpatterson,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
388,"When the internet goes out, @SouthwestAir is crippled. Passengers to Chicago stranded for 3 hours can’t change flight because “the system is down.” But apparently my flight to MDW is on schedule and they’re checking people in manually. Intense atmosphere over here at C20!",superteela,,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
389,"Who would’ve guessed that a feminist would be against having fun No one, nada, zip",Trollingemdead,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,Wow!!! That’s amazing,hayres83,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
391,Save the drama for your momma!,Mfitzg79Mark,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
392,Can you believe it's been over 2 weeks and @AmericanAir still hasn't helped us?,ahzybanoo,,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
393,"DEFINITELY never flying @Delta again. Worst customer service experience of my whole life trying to find my lost bag. Different answer every time I call (10 times?), still no bag, had a random person's bag be delivered to my house instead. Awesome.",tomblueribbon,,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
394,@British_Airways boarding gate for flight 85 at LHR T3: pandemonium pic.twitter.com/jJp2QoAtCY,European1nLdn,,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
395,Is that it? :/ a generic sorry?!,street_eyeballs,,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
396,How did you find out your flight was cancelled then?,alexcruzmaybe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,"For those of you keeping score at home...after no updates for the past 5 hours, we did finally just board, but then...there’s no catering, thus an unknown further delay! Thanks for playing! Oh, @AmericanAir, you never fail to be creative, gotta give you that!",JBMatthews,,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
398,"Sure Jan, you do realize about 90% of their audience is 12 year old girls right?",WhenYouKnowYou1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,What he was going to complain about has no bearing. The pilot should not have touched him. If he was the problem would they not have waited and have the police escort him from the plane?,becmabs,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
400,"What is it like flying ""Big Bird""?",Kitty_Hawk63,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,"@British_Airways hi my account has my name down as Alex, are you able to change this to Alexander to match my passport, please. It causes some issues when I fly. Thanks. :)",AlexCIark,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
402,"@AmericanAir When changing my address online, I accidentally changed my first name too. Now I can’t change it back; the box is grayed out. How can this be undone?",EMcCutchan,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
403,Thank you very much @gymskate I felt mostly sure I was right but just wanted some confirmation. I’m sure today has been an onslaught of questions they can’t keep up with.,trogers6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,Should have been w/ @AmericanAir #envoymadehttps://twitter.com/NBA/status/1095797260959526920 …,no1DMIARVKS_fan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,FAKE NEWS. The request was denied because it was lavish and unnecessary by any and all government standards. In other words she wanted to spend a lavish amount of the tax payers money. @Delta @AlaskaAir @united @SouthwestAir @JetBlue @SpiritAirlines all offer great deals.,PlanetTrump4evr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,India and China stopped using them for the moment. Let’s hope others do the same until the flaw is rectified,miheershah,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,"@SouthwestAir I love you guys so much, but it’s 2019. Where are the power outlets on your planes???",audreymcoots,,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
408,Thank you Maggie! Update to the letter: @SouthwestAir is standing by their dumb anti-mama policy,maryoliviabloom,,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
409,@SouthwestAir @AmericanAir please ground the 737 Max 8 until there’s a fix. Don’t be found choosing money over safety.,demetriusnwest,,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
410,it’s totally amazing how people just don’t get it,jerm_cohen,😂,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,"@AmericanAir - With the snow at SeaTac, is it still looking like flight 2473 will take off on time for DFW? Thanks!",bonniemoon,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
412,"Also, if you're looking to travel further or to a destination without frequent service, it could, uh.. you know, er.. cost more greater big amountz",GabeWootton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,"It's not really a try... Chucky has voted for border security in the past. This isn't a shutdown, it's just a showdown between @TheDemocrats and @realDonaldTrump and my money is on the president.",notbenfirst,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,Please reply to this! Where is my wife’s luggage and why are you not able to locate it? Over 2 weeks and still no news??,MusssuM1,,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
415,@SouthwestAir - any updates on weather delays to Cleveland tomorrow? Looks like all other surrounding cities are getting blasted!,kmuns67,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
416,Just fixed it! Thank you Jennifer!,GingerSnapEsq,,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
417,"Do you have a child with a severe nut allergy? Would you even think about taking that child on an airplane? It's not about Trish, you, or me! It's about parenting!",GrimSoftware,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,Woohoo! I’m enrolled!,TweetlessCathy,🥂,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,"We’re sat on the plane - have been for 3hrs+ about to leave (apparently, again). Perhaps best to check details before you respond as it highlights the tawdry service! The ground crew here don’t seem to want to move the plane?!? #AmericanAirlines #shambles",PaulAmourdedieu,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
420,@Delta been sitting on the tarmac in Kona for almost 4 hours! Need help getting home!!!!,tiffdow,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1001,@British_Airways greetings . could i have the telephone contact or email address of your Commercial Manager for ( UAE / ASIA) . thanks,Zia1967,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1002,I hope you get to go soon!,wwshopgirl,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
1003,I had to wait for pictures to buffer in an article I was reading because @SouthwestAir though I needed to see an add of a guy just happy as can be that an airplane flew through his crotch and out of his ass. @avman2120 @mellisaeb @techrob2112 @tusitalabruni @Danger_Slaterpic.twitter.com/uPmCTUMjbc,astamps21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,@AmericanAir I sent a DM. We are VERY delayed 115 with connection to 1217 in ORD with wife on sep itinerary.,grey_now,,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1005,Class by @British_Airways https:// twitter.com/RaheeqAbbasi/s tatus/1098938420653686784 …,U_innovate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,"@British_Airways I'm flying from Manchester to NYC via Heathrow with you, I think I land and depart from T5, will I have to go through security again?",abi_wills_,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1007,That is stunning @British_Airways . I love the massive Speedbird on the tail. Do you other fleet retro livery plans?,DReetham,,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1008,You like liars?,GScottSays,😂,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,"Yup, and they need the same for the wide behinds. The average person can barely squeeze in much less the above average people",CarolinaGirl585,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,I get better rates on several other airlines,ShipJos,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,I literally cannot hold anymore it’s past 3am. This is my 2nd phone call. Total of 7 hours. And someone that tweeted less than an hour ago is getting a response. How is your Twitter this disorganized? I have tweeted and DM’d hours ago.pic.twitter.com/UgghJSijnP,HollyNewberger,,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1012,Fake news,aatruther,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1013,Welcome Jai #BASMART,erwin_hattingh,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
